AnEar,Date,milk_production
1009,2023-07-05,123.0
1009,2023-07-06,105.0
1009,2023-07-07,104.0
1009,2023-07-08,96.2
1009,2023-07-09,107.0
1009,2023-07-10,113.0
1009,2023-07-11,97.6
1009,2023-07-12,89.0
1009,2023-07-13,107.0
1009,2023-07-14,97.9
1009,2023-07-15,86.7
1009,2023-07-16,102.0
1009,2023-07-17,99.5
1009,2023-07-18,117.0
1009,2023-07-19,90.5
1009,2023-07-20,75.5
1009,2023-07-21,82.4
1009,2023-07-22,93.0
1009,2023-07-23,99.5
1009,2023-07-24,103.0
1009,2023-07-25,105.0
1009,2023-07-26,108.0
1009,2023-07-27,100.0
1009,2023-07-28,101.0
1009,2023-07-29,105.0
1009,2023-07-30,98.7
1009,2023-07-31,97.8
1009,2023-08-01,106.0
1009,2023-08-02,87.7
1009,2023-08-03,106.0
1009,2023-08-04,95.1
1009,2023-08-05,100.0
1009,2023-08-06,99.4
1009,2023-08-07,105.0
1009,2023-08-08,102.0
1009,2023-08-09,108.0
1009,2023-08-10,112.0
1009,2023-08-11,98.1
1009,2023-08-12,107.0
1009,2023-08-13,107.0
1009,2023-08-14,105.0
1009,2023-08-15,99.8
1009,2023-08-16,112.0
1009,2023-08-17,109.0
1009,2023-08-18,100.0
1009,2023-08-19,96.3
1009,2023-08-20,102.0
1009,2023-08-21,97.4
1009,2023-08-22,111.0
1009,2023-08-23,96.2
1009,2023-08-24,69.7
1009,2023-08-25,67.5
1009,2023-08-26,71.7
1009,2023-08-27,81.9
1009,2023-08-28,86.8
1009,2023-08-29,85.8
1009,2023-08-30,89.8
1009,2023-08-31,94.1
1009,2023-09-01,93.1
1009,2023-09-02,87.0
1009,2023-09-03,96.9
1009,2023-09-04,91.8
1009,2023-09-05,90.8
1009,2023-09-06,96.0
1009,2023-09-07,92.2
1009,2023-09-08,86.4
1009,2023-09-09,94.2
1009,2023-09-10,86.9
1009,2023-09-11,96.8
1009,2023-09-12,84.2
1009,2023-09-13,90.1
1009,2023-09-14,92.0
1009,2023-09-15,101.0
1009,2023-09-16,83.4
1009,2023-09-17,106.0
1009,2023-09-18,91.6
1009,2023-09-19,95.8
1009,2023-09-20,101.0
1009,2023-09-21,91.9
1009,2023-09-22,93.6
1009,2023-09-23,102.0
1009,2023-09-24,89.5
1009,2023-09-25,108.0
1009,2023-09-26,92.3
1009,2023-09-27,93.2
1009,2023-09-28,97.2
1009,2023-09-29,90.6
1009,2023-09-30,94.1
1009,2023-10-01,92.1
1009,2023-10-02,104.0
1009,2023-10-03,102.0
1009,2023-10-04,99.7
1009,2023-10-05,95.6
1009,2023-10-06,99.7
1009,2023-10-07,94.1
1009,2023-10-08,99.9
1009,2023-10-09,92.2
1009,2023-10-10,92.3
1009,2023-10-11,98.3
1009,2023-10-12,99.2
1009,2023-10-13,92.9
1009,2023-10-14,98.7
1009,2023-10-15,89.2
1009,2023-10-16,88.7
1009,2023-10-17,81.7
1009,2023-10-18,95.8
1009,2023-10-19,90.4
1009,2023-10-20,88.0
1009,2023-10-21,81.9
1009,2023-10-22,94.9
1009,2023-10-23,111.0
1009,2023-10-24,92.2
1009,2023-10-25,99.9
1009,2023-10-26,94.2
1009,2023-10-27,98.1
1009,2023-10-28,95.1
1009,2023-10-29,93.2
1009,2023-10-30,95.7
1009,2023-10-31,101.0
1009,2023-11-01,95.4
1009,2023-11-02,102.0
1009,2023-11-03,102.0
1009,2023-11-04,105.0
1009,2023-11-05,102.0
1009,2023-11-06,97.7
1009,2023-11-07,101.0
1009,2023-11-08,98.2
1009,2023-11-09,97.5
1009,2023-11-10,101.0
1009,2023-11-11,106.0
1009,2023-11-12,93.1
1009,2023-11-13,102.0
1009,2023-11-14,89.0
1009,2023-11-15,91.0
1009,2023-11-16,96.3
1009,2023-11-17,98.9
1009,2023-11-18,104.0
1009,2023-11-19,106.0
1009,2023-11-20,94.9
1009,2023-11-21,101.0
1009,2023-11-22,106.0
1009,2023-11-23,99.2
1009,2023-11-24,91.7
1009,2023-11-25,99.9
1009,2023-11-26,98.1
1009,2023-11-27,102.0
1009,2023-11-28,99.3
1009,2023-11-29,95.7
1009,2023-11-30,101.0
1009,2023-12-01,102.0
1009,2023-12-02,104.0
1009,2023-12-03,96.6
1009,2023-12-04,96.7
1009,2023-12-05,95.4
1009,2023-12-06,119.0
1009,2023-12-07,99.0
1009,2023-12-08,102.0
1009,2023-12-09,104.0
1009,2023-12-10,96.2
1009,2023-12-11,89.1
1009,2023-12-12,92.6
1009,2023-12-13,107.0
1009,2023-12-14,95.9
1009,2023-12-15,96.0
1009,2023-12-16,100.0
1009,2023-12-17,94.2
1009,2023-12-18,93.7
1009,2023-12-19,88.1
1009,2023-12-20,94.1
1009,2023-12-21,92.3
1009,2023-12-22,90.2
1009,2023-12-23,97.6
1009,2023-12-24,93.6
1009,2023-12-25,103.0
1009,2023-12-26,101.0
1009,2023-12-27,89.1
1009,2023-12-28,93.0
1009,2023-12-29,93.5
1009,2023-12-30,88.1
1009,2023-12-31,94.2
1009,2024-01-01,92.2
1009,2024-01-02,95.8
1009,2024-01-03,96.5
1009,2024-01-04,86.7
1009,2024-01-05,90.8
1009,2024-01-06,98.9
1009,2024-01-07,92.7
1009,2024-01-08,92.1
1009,2024-01-09,91.8
1009,2024-01-10,98.0
1009,2024-01-11,90.5
1009,2024-01-12,92.6
1009,2024-01-13,94.3
1009,2024-01-14,93.5
1009,2024-01-15,88.0
1009,2024-01-16,90.8
1009,2024-01-17,96.2
1009,2024-01-18,97.7
1009,2024-01-19,86.3
1009,2024-01-20,83.1
1009,2024-01-21,86.6
1009,2024-01-22,87.4
1009,2024-01-23,89.7
1009,2024-01-24,92.2
1009,2024-01-25,85.7
1009,2024-01-26,95.1
1009,2024-01-27,90.8
1009,2024-01-28,86.3
1009,2024-01-29,87.0
1009,2024-01-30,87.6
1009,2024-01-31,94.4
1009,2024-02-01,90.6
1009,2024-02-02,85.0
1009,2024-02-03,90.3
1009,2024-02-04,93.9
1009,2024-02-05,90.4
1009,2024-02-06,86.6
1009,2024-02-07,90.4
1009,2024-02-08,91.2
1009,2024-02-09,92.6
1017,2023-03-29,16.1
1017,2023-03-30,59.8
1017,2023-04-01,64.8
1017,2023-03-31,65.9
1017,2023-04-02,83.3
1017,2023-04-03,90.6
1017,2023-04-04,92.5
1017,2023-04-05,96.7
1017,2023-04-06,108.0
1017,2023-04-07,105.0
1017,2023-04-08,103.0
1017,2023-04-09,101.0
1017,2023-04-10,99.9
1017,2023-04-11,114.0
1017,2023-04-12,104.0
1017,2023-04-13,111.0
1017,2023-04-14,109.0
1017,2023-04-15,117.0
1017,2023-04-16,120.0
1017,2023-04-17,105.0
1017,2023-04-18,106.0
1017,2023-04-19,121.0
1017,2023-04-20,114.0
1017,2023-04-21,127.0
1017,2023-04-22,109.0
1017,2023-04-23,113.0
1017,2023-04-24,124.0
1017,2023-04-25,120.0
1017,2023-04-26,115.0
1017,2023-04-27,118.0
1017,2023-04-28,119.0
1017,2023-04-29,114.0
1017,2023-04-30,110.0
1017,2023-05-01,121.0
1017,2023-05-02,121.0
1017,2023-05-03,111.0
1017,2023-05-04,121.0
1017,2023-05-05,113.0
1017,2023-05-06,106.0
1017,2023-05-07,113.0
1017,2023-05-08,122.0
1017,2023-05-09,119.0
1017,2023-05-10,120.0
1017,2023-05-11,113.0
1017,2023-05-12,125.0
1017,2023-05-13,123.0
1017,2023-05-14,113.0
1017,2023-05-15,117.0
1017,2023-05-16,106.0
1017,2023-05-17,106.0
1017,2023-05-18,117.0
1017,2023-05-19,114.0
1017,2023-05-20,118.0
1017,2023-05-21,113.0
1017,2023-05-22,125.0
1017,2023-05-23,122.0
1017,2023-05-24,121.0
1017,2023-05-25,120.0
1017,2023-05-26,118.0
1017,2023-05-27,113.0
1017,2023-05-28,118.0
1017,2023-05-29,117.0
1017,2023-05-30,121.0
1017,2023-05-31,117.0
1017,2023-06-01,118.0
1017,2023-06-02,127.0
1017,2023-06-03,117.0
1017,2023-06-04,111.0
1017,2023-06-05,112.0
1017,2023-06-06,114.0
1017,2023-06-07,118.0
1017,2023-06-08,118.0
1017,2023-06-09,110.0
1017,2023-06-10,112.0
1017,2023-06-11,117.0
1017,2023-06-12,104.0
1017,2023-06-13,107.0
1017,2023-06-14,115.0
1017,2023-06-15,113.0
1017,2023-06-16,128.0
1017,2023-06-17,125.0
1017,2023-06-18,118.0
1017,2023-06-19,125.0
1017,2023-06-20,118.0
1017,2023-06-21,113.0
1017,2023-06-22,111.0
1017,2023-06-23,121.0
1017,2023-06-24,113.0
1017,2023-06-25,114.0
1017,2023-06-26,110.0
1017,2023-06-27,122.0
1017,2023-06-28,111.0
1017,2023-06-29,117.0
1017,2023-06-30,113.0
1017,2023-07-01,99.4
1017,2023-07-02,116.0
1017,2023-07-03,111.0
1017,2023-07-04,117.0
1017,2023-07-05,108.0
1017,2023-07-06,116.0
1017,2023-07-07,121.0
1017,2023-07-08,121.0
1017,2023-07-09,115.0
1017,2023-07-10,109.0
1017,2023-07-11,107.0
1017,2023-07-12,114.0
1017,2023-07-13,109.0
1017,2023-07-14,110.0
1017,2023-07-15,118.0
1017,2023-07-16,116.0
1017,2023-07-17,123.0
1017,2023-07-18,103.0
1017,2023-07-19,112.0
1017,2023-07-20,110.0
1017,2023-07-21,117.0
1017,2023-07-22,113.0
1017,2023-07-23,119.0
1017,2023-07-24,127.0
1017,2023-07-25,119.0
1017,2023-07-26,124.0
1017,2023-07-27,114.0
1017,2023-07-28,114.0
1017,2023-07-29,119.0
1017,2023-07-30,113.0
1017,2023-07-31,115.0
1017,2023-08-01,115.0
1017,2023-08-02,109.0
1017,2023-08-03,118.0
1017,2023-08-04,114.0
1017,2023-08-05,113.0
1017,2023-08-06,110.0
1017,2023-08-07,114.0
1017,2023-08-08,110.0
1017,2023-08-09,110.0
1017,2023-08-10,120.0
1017,2023-08-11,118.0
1017,2023-08-12,107.0
1017,2023-08-13,117.0
1017,2023-08-14,116.0
1017,2023-08-15,106.0
1017,2023-08-16,111.0
1017,2023-08-17,119.0
1017,2023-08-18,116.0
1017,2023-08-19,106.0
1017,2023-08-20,116.0
1017,2023-08-21,106.0
1017,2023-08-22,109.0
1017,2023-08-23,113.0
1017,2023-08-24,107.0
1017,2023-08-25,99.5
1017,2023-08-26,97.5
1017,2023-08-27,101.0
1017,2023-08-28,109.0
1017,2023-08-29,108.0
1017,2023-08-30,111.0
1017,2023-08-31,115.0
1017,2023-09-01,105.0
1017,2023-09-02,104.0
1017,2023-09-03,105.0
1017,2023-09-04,117.0
1017,2023-09-05,113.0
1017,2023-09-06,111.0
1017,2023-09-07,102.0
1017,2023-09-08,109.0
1017,2023-09-09,114.0
1017,2023-09-10,97.4
1017,2023-09-11,114.0
1017,2023-09-12,96.7
1017,2023-09-13,101.0
1017,2023-09-14,102.0
1017,2023-09-15,103.0
1017,2023-09-16,106.0
1017,2023-09-17,107.0
1017,2023-09-18,98.3
1017,2023-09-19,108.0
1017,2023-09-20,103.0
1017,2023-09-21,106.0
1017,2023-09-22,106.0
1017,2023-09-23,103.0
1017,2023-09-24,102.0
1017,2023-09-25,101.0
1017,2023-09-26,97.2
1017,2023-09-27,99.8
1017,2023-09-28,88.7
1017,2023-09-29,98.3
1017,2023-09-30,96.8
1017,2023-10-01,97.1
1017,2023-10-02,98.9
1017,2023-10-03,103.0
1017,2023-10-04,106.0
1017,2023-10-05,102.0
1017,2023-10-06,101.0
1017,2023-10-07,99.2
1017,2023-10-08,106.0
1017,2023-10-09,94.8
1017,2023-10-10,110.0
1017,2023-10-11,103.0
1017,2023-10-12,100.0
1017,2023-10-13,109.0
1017,2023-10-14,111.0
1017,2023-10-15,99.3
1017,2023-10-16,102.0
1017,2023-10-17,93.9
1017,2023-10-18,105.0
1017,2023-10-19,101.0
1017,2023-10-20,93.6
1017,2023-10-21,91.2
1017,2023-10-22,96.0
1017,2023-10-23,112.0
1017,2023-10-24,109.0
1017,2023-10-25,93.1
1017,2023-10-26,95.4
1017,2023-10-27,88.6
1017,2023-10-28,95.3
1017,2023-10-29,86.6
1017,2023-10-30,90.1
1017,2023-10-31,85.3
1017,2023-11-01,80.9
1017,2023-11-02,92.3
1017,2023-11-03,102.0
1017,2023-11-04,96.7
1017,2023-11-05,86.2
1017,2023-11-06,89.4
1017,2023-11-07,88.2
1017,2023-11-08,94.3
1017,2023-11-09,93.7
1017,2023-11-10,95.6
1017,2023-11-11,86.9
1017,2023-11-12,89.9
1017,2023-11-13,85.5
1017,2023-11-14,92.4
1017,2023-11-15,84.9
1017,2023-11-16,87.4
1017,2023-11-17,87.9
1017,2023-11-18,82.6
1017,2023-11-19,87.8
1017,2023-11-20,84.5
1017,2023-11-21,88.4
1017,2023-11-22,80.1
1017,2023-11-23,76.0
1017,2023-11-24,84.3
1017,2023-11-25,91.1
1017,2023-11-26,86.4
1017,2023-11-27,86.5
1017,2023-11-28,85.9
1017,2023-11-29,84.5
1017,2023-11-30,82.7
1017,2023-12-01,79.7
1017,2023-12-02,86.2
1017,2023-12-03,89.1
1017,2023-12-04,85.8
1017,2023-12-05,83.6
1017,2023-12-06,82.1
1017,2023-12-07,79.6
1017,2023-12-08,86.6
1017,2023-12-09,84.3
1017,2023-12-10,77.4
1017,2023-12-11,78.7
1017,2023-12-12,88.7
1017,2023-12-13,86.8
1017,2023-12-14,90.8
1017,2023-12-15,82.1
1017,2023-12-16,88.0
1017,2023-12-17,83.8
1017,2023-12-18,82.9
1017,2023-12-19,71.7
1017,2023-12-20,78.8
1017,2023-12-21,78.5
1017,2023-12-22,82.4
1017,2023-12-23,86.7
1017,2023-12-24,78.1
1017,2023-12-25,88.9
1017,2023-12-26,75.4
1017,2023-12-27,80.8
1017,2023-12-28,81.1
1017,2023-12-29,84.2
1017,2023-12-30,70.9
1017,2023-12-31,83.1
1017,2024-01-01,79.5
1017,2024-01-02,78.3
1017,2024-01-03,72.8
1017,2024-01-04,77.4
1017,2024-01-05,78.7
1017,2024-01-06,86.6
1017,2024-01-07,68.9
1017,2024-01-08,73.6
1017,2024-01-09,73.7
1017,2024-01-10,82.2
1017,2024-01-11,75.5
1017,2024-01-12,78.9
1017,2024-01-13,79.0
1017,2024-01-14,74.1
1017,2024-01-15,72.2
1017,2024-01-16,65.6
1017,2024-01-17,68.8
1017,2024-01-18,76.9
1017,2024-01-19,71.8
1017,2024-01-20,68.6
1017,2024-01-21,66.1
1017,2024-01-22,66.3
1017,2024-01-23,71.4
1017,2024-01-24,74.4
1017,2024-01-25,64.0
1017,2024-01-26,72.4
1017,2024-01-27,66.9
1209,2023-01-11,10.3
1209,2023-01-12,37.0
1209,2023-01-13,41.5
1209,2023-01-14,37.1
1209,2023-01-15,51.1
1209,2023-01-16,54.2
1209,2023-01-17,59.8
1209,2023-01-18,55.7
1209,2023-01-19,59.8
1209,2023-01-20,54.9
1209,2023-01-21,58.8
1209,2023-01-22,64.0
1209,2023-01-23,62.6
1209,2023-01-24,65.4
1209,2023-01-25,59.3
1209,2023-01-26,66.9
1209,2023-01-27,66.2
1209,2023-01-28,67.8
1209,2023-01-29,71.0
1209,2023-01-30,67.3
1209,2023-01-31,78.1
1209,2023-02-01,59.3
1209,2023-02-02,77.7
1209,2023-02-03,66.0
1209,2023-02-04,83.6
1209,2023-02-05,84.8
1209,2023-02-06,79.2
1209,2023-02-07,71.1
1209,2023-02-08,73.1
1209,2023-02-09,78.2
1209,2023-02-10,82.9
1209,2023-02-11,76.4
1209,2023-02-12,85.2
1209,2023-02-13,80.7
1209,2023-02-14,82.6
1209,2023-02-15,83.5
1209,2023-02-16,84.7
1209,2023-02-17,85.9
1209,2023-02-18,81.4
1209,2023-02-19,85.7
1209,2023-02-20,83.4
1209,2023-02-21,83.8
1209,2023-02-22,81.2
1209,2023-02-23,87.1
1209,2023-02-24,87.5
1209,2023-02-25,79.0
1209,2023-02-26,88.5
1209,2023-02-27,86.7
1209,2023-02-28,87.0
1209,2023-03-01,84.7
1209,2023-03-02,91.2
1209,2023-03-03,81.8
1209,2023-03-04,84.4
1209,2023-03-05,89.7
1209,2023-03-06,88.7
1209,2023-03-07,92.0
1209,2023-03-08,86.5
1209,2023-03-09,88.5
1209,2023-03-10,92.4
1209,2023-03-11,90.0
1209,2023-03-12,88.8
1209,2023-03-13,91.1
1209,2023-03-14,91.8
1209,2023-03-15,89.3
1209,2023-03-16,85.8
1209,2023-03-17,83.4
1209,2023-03-18,94.4
1209,2023-03-19,90.4
1209,2023-03-20,91.0
1209,2023-03-21,86.4
1209,2023-03-22,96.3
1209,2023-03-23,87.0
1209,2023-03-24,89.2
1209,2023-03-25,78.8
1209,2023-03-26,70.1
1209,2023-03-27,80.0
1209,2023-03-28,91.0
1209,2023-03-29,84.2
1209,2023-03-30,93.4
1209,2023-03-31,95.4
1209,2023-04-01,91.7
1209,2023-04-02,42.3
1209,2023-04-03,87.1
1209,2023-04-04,88.2
1209,2023-04-05,93.1
1209,2023-04-06,92.2
1209,2023-04-07,97.5
1209,2023-04-08,88.5
1209,2023-04-09,92.9
1209,2023-04-10,90.0
1209,2023-04-11,88.8
1209,2023-04-12,90.4
1209,2023-04-13,89.2
1209,2023-04-14,85.0
1209,2023-04-15,84.1
1209,2023-04-16,83.0
1209,2023-04-17,84.8
1209,2023-04-18,86.5
1209,2023-04-19,86.6
1209,2023-04-20,85.2
1209,2023-04-21,85.9
1209,2023-04-22,80.9
1209,2023-04-23,86.2
