Start Time,Duration,activation,batch_size,dim,dropout,dropout_rate,early_stop_patience,encoder_out,epochs,intermediate,learning_rate,optimizer,out_activation,type,error,score
22/05/2024 16:12,14.7s,softmax,2,"(44, 257, 200, 38, 233)",2,0.3,20,50,40,1,0.001,adam,sigmoid,undercomplete,0.148164034,0.034486085
22/05/2024 16:11,13.9s,softmax,16,"(282, 71, 280, 165, 258)",0,0.3,50,50,100,1,0.001,adam,sigmoid,undercomplete,0.148826748,0.034682833
22/05/2024 16:14,14.3s,sigmoid,1,"(172, 153, 239, 71, 179)",1,0.4,0,50,80,2,0.002,rmsprop,sigmoid,sparse,0.15030773,0.034699887
22/05/2024 16:08,15.4s,softmax,1,"(75, 78, 28, 172, 296)",0,0.35,60,50,10,1,0.001,rmsprop,sigmoid,undercomplete,0.14995712,0.034836184
23/05/2024 00:32,9.4s,sigmoid,8,"(158, 164, 212, 305, 257)",0,0.25,0,5,300,2,0.0005,adam,sigmoid,undercomplete,0.150224566,0.035411626
23/05/2024 00:07,29.4s,relu,16,"(60, 235, 103, 183, 69)",0,0.35,0,50,290,0,0.0015,adam,sigmoid,sparse,0.157330692,0.038114078
22/05/2024 16:29,26.2s,relu,16,"(6, 256, 18, 279, 84)",2,0.35,80,50,250,5,0.001,rmsprop,relu,undercomplete,0.164677843,0.039160419
22/05/2024 16:11,11.8s,softmax,8,"(243, 58, 106, 112, 142)",2,0.15,0,50,90,4,0.002,adam,sigmoid,undercomplete,0.164313793,0.039873172
23/05/2024 00:28,9.4s,relu,1,"(21, 164, 265, 1, 267)",0,0.1,0,5,250,2,0.001,sgd,sigmoid,undercomplete,0.166927144,0.040902581
23/05/2024 00:17,48.0s,relu,1,"(150, 175, 1, 236, 268)",0,0.05,20,5,130,2,0.001,sgd,sigmoid,undercomplete,0.166829303,0.040924747
22/05/2024 16:08,37.0s,softmax,16,"(199, 204, 5, 110, 19)",0,0.3,40,50,60,5,0.0015,sgd,sigmoid,undercomplete,0.167066216,0.040994905
22/05/2024 16:12,13.6s,softmax,4,"(51, 33, 94, 26, 71)",0,0.2,40,50,30,4,0.001,sgd,sigmoid,undercomplete,0.167062148,0.040997878
22/05/2024 16:13,14.5s,softmax,4,"(248, 96, 33, 161, 3)",1,0.1,50,50,40,4,0.001,sgd,sigmoid,undercomplete,0.167097211,0.040997885
23/05/2024 00:34,30.7s,relu,8,"(222, 182, 274, 290, 135)",0,0.3,30,150,230,3,0.0005,sgd,sigmoid,undercomplete,0.167164713,0.041121941
23/05/2024 00:31,39.6s,relu,4,"(194, 296, 263, 254, 224)",0,0.05,50,50,280,1,0.001,sgd,sigmoid,undercomplete,0.16746375,0.041454833
23/05/2024 00:25,24.6s,relu,4,"(259, 120, 204, 248, 244)",0,0.3,20,5,170,1,0.001,sgd,sigmoid,undercomplete,0.168233842,0.041525941
23/05/2024 00:14,25.7s,relu,16,"(64, 146, 120, 21, 84)",0,0.2,50,150,240,2,0.002,sgd,sigmoid,undercomplete,0.168209121,0.041661594
23/05/2024 00:10,34.5s,relu,8,"(19, 52, 14, 38, 209)",0,0.15,30,50,270,1,0.0015,sgd,sigmoid,sparse,0.167116985,0.042016923
23/05/2024 00:22,38.5s,sigmoid,2,"(182, 89, 227, 168, 301)",0,0.25,20,50,180,1,0.002,sgd,sigmoid,undercomplete,0.176318362,0.046928048
22/05/2024 16:30,29.0s,sigmoid,2,"(44, 54, 288, 226, 249)",1,0.15,10,50,70,4,0.001,sgd,sigmoid,sparse,0.17537865,0.04829824
22/05/2024 16:33,1.9min,relu,2,"(98, 47, 33, 261, 14)",1,0.4,90,50,270,4,0.001,rmsprop,relu,sparse,0.125733212,0.048589811
23/05/2024 00:14,18.5s,sigmoid,16,"(151, 192, 69, 30, 132)",0,0.1,10,50,160,0,0.0005,sgd,sigmoid,sparse,0.176049575,0.048743784
22/05/2024 16:38,44.2s,sigmoid,8,"(291, 110, 265, 245, 166)",2,0.2,10,50,220,5,0.0015,sgd,sigmoid,undercomplete,0.182860509,0.051431164
22/05/2024 23:48,32.0s,sigmoid,4,"(249, 33, 113, 78, 282)",0,0.15,70,5,180,3,0.001,sgd,sigmoid,sparse,0.183625087,0.051481664
22/05/2024 23:38,,sigmoid,1,"(166, 282, 136, 46, 299)",0,0.1,10,50,130,1,0.0005,sgd,sigmoid,undercomplete,0.185188606,0.051724937
22/05/2024 16:16,20.9s,relu,8,"(99, 282, 165, 205, 106)",1,0.4,80,50,80,3,0.0005,rmsprop,relu,sparse,0.198724166,0.097285993
22/05/2024 16:36,1.4min,sigmoid,2,"(130, 206, 293, 147, 159)",1,0.4,70,50,280,5,0.002,adam,relu,undercomplete,0.240675062,0.105169304
22/05/2024 16:12,13.3s,softmax,16,"(253, 103, 296, 46, 227)",2,0.2,50,50,20,4,0.0015,adam,relu,undercomplete,0.320307344,0.134308875
